Trek,URL,Region,Duration,Grade,Image
Phulara Ridge Trek,https://trekthehimalayas.com/phulara-ridge-trek,Uttarakhand,DURATION: 6 DAYS,GRADE: EASY TO MODERATE,https://cdn.trekthehimalayas.com/images/PhularaRidgeTrek/AppCover/ae99f094-63cd-4e4a-94e4-c14ffdd52774_phulara-ridge_11zon.webp
Dayara Bugyal Trek,https://trekthehimalayas.com/dayara-bugyal-trek,Uttarakhand,DURATION: 5 DAYS,GRADE: EASY,https://cdn.trekthehimalayas.com/images/DayaraBugyalTrek/AppCover/d0fea39a-af93-4aff-8a33-ee1c8f541a7a_dayara-bugyal_11zon.webp
Surya Top Trek,https://trekthehimalayas.com/surya-top-trek,Uttarakhand,DURATION: 6 DAYS,GRADE: MODERATE,https://cdn.trekthehimalayas.com/images/SuryaTopTrek/AppCover/a5251691-e148-46bb-b7f3-671339def956_surya-top_11zon.webp
Dudhatoli Trek,https://trekthehimalayas.com/dudhatoli-trek,Uttarakhand,DURATION: 5 DAYS,GRADE: EASY,https://cdn.trekthehimalayas.com/images/DudhatoliTrek/AppCover/8e9c2147-9d32-46d7-a015-0f6c289b2693_dodhatoli-mobile-cover-app-cover-image.webp
Satopanth Peak Expedition,https://trekthehimalayas.com/satopanth-peak-expedition,Uttarakhand,DURATION: 22 DAYS,GRADE: CHALLENGING,https://cdn.trekthehimalayas.com/images/SatopanthPeakExpedition/AppCover/c38d47c1c24b4e52ab96054d5de836ba.webp
Kedar Tal Trek,https://trekthehimalayas.com/kedar-tal-trek,Uttarakhand,DURATION: 7 DAYS,GRADE: DIFFICULT,https://cdn.trekthehimalayas.com/images/KedarTalTrek/AppCover/f13111a2-e77d-4a4d-87be-57e14f1f4d47_kedartal_11zon.webp
Gulabi Kantha Trek,https://trekthehimalayas.com/gulabi-kantha-trek,Uttarakhand,DURATION: 5 DAYS,GRADE: MODERATE,https://cdn.trekthehimalayas.com/images/GulabiKanthaTrek/AppCover/b994f47c-c233-4003-828d-b3bf313b8441_gulabhi-kantha_11zon (1).webp
Aancha Top Trek,https://trekthehimalayas.com/aancha-top-trek,Uttarakhand,DURATION: 6 DAYS,GRADE: EASY TO MODERATE,https://cdn.trekthehimalayas.com/images/AanchaTopTrek/AppCover/5d3ea0d4-cb3a-43fd-9b5e-b509cbde2e46_aancha top cover image wepb.webp
Kedarkantha Trek,https://trekthehimalayas.com/kedarkantha-trek,Uttarakhand,DURATION: 6 DAYS,GRADE: EASY TO MODERATE,https://cdn.trekthehimalayas.com/images/KedarkanthaTrek/AppCover/cb50f136-9090-496a-bd22-a5a260f5c4eb_kedarkantha_11zon.webp
Brahmatal Trek,https://trekthehimalayas.com/brahmatal-trek,Uttarakhand,DURATION: 6 DAYS,GRADE: EASY TO MODERATE,https://cdn.trekthehimalayas.com/images/BrahmatalTrek/AppCover/c99b6b9f-4653-4e5c-8454-91adbe58efa7_brahmtal_11zon.webp
Ali Bedni Bugyal Trek,https://trekthehimalayas.com/ali-bedni-bugyal-trek,Uttarakhand,DURATION: 6 DAYS,GRADE: MODERATE,https://cdn.trekthehimalayas.com/images/AliBedniBugyalTrek/AppCover/b67cd8f1-7602-4996-9f8c-f4481895a262_ali-bedni-bugyal_11zon.webp
Nag Tibba Weekend Trek,https://trekthehimalayas.com/nag-tibba-trek,Uttarakhand,DURATION: 2 DAYS,GRADE: EASY,https://cdn.trekthehimalayas.com/images/NagTibbaWeekendTrek/AppCover/2585f2f6-2448-4c75-9bd1-da68a1d6ef72_nag-tibba_11zon.webp
Panchkedar Trek & Drive,https://trekthehimalayas.com/panchkedar-trek,Uttarakhand,DURATION: 12 DAYS,GRADE: MODERATE TO DIFFICULT,https://cdn.trekthehimalayas.com/images/PanchkedarTrek&Drive/AppCover/b177a5a5-9691-4567-86f8-fa785f2a8212_panchkedar_11zon.webp
Mukta Top Trek,https://trekthehimalayas.com/mukta-top-trek,Uttarakhand,DURATION: 6 DAYS,GRADE: EASY TO MODERATE,https://cdn.trekthehimalayas.com/images/MuktaTopTrek/AppCover/0db70795-1cd6-4a0f-b082-56376f27eeeb_mukta-top_11zon.webp
Satopanth Lake Trek,https://trekthehimalayas.com/Satopanth-Lake-Trek,Uttarakhand,DURATION: 8 DAYS,GRADE: MODERATE TO DIFFICULT,https://cdn.trekthehimalayas.com/images/SatopanthLakeTrek/AppCover/da44a9fe-4e61-4740-85e6-fc19286bab81_satopanth-lake_11zon.webp
Panwali Kantha Trek,https://trekthehimalayas.com/panwali-kantha,Uttarakhand,DURATION: 5 DAYS,GRADE: MODERATE,https://cdn.trekthehimalayas.com/images/PanwaliKanthaTrek/AppCover/314e6e7b-9033-4481-800b-66b3a0ba0d60_panwali-kantha_11zon.webp
Deoban Weekend Trek,https://trekthehimalayas.com/deoban-trek,Uttarakhand,DURATION: 2 DAYS,GRADE: EASY,https://cdn.trekthehimalayas.com/images/DeobanWeekendTrek/AppCover/bd3f8004-55ea-4cfa-a565-df69edf6c763_07401e25-3d89-4444-9d77-e00087935a18_Deoban (1).webp
Adi Kailash and Om Parvat,https://trekthehimalayas.com/adi-kailash-yatra,Uttarakhand,DURATION: 6 DAYS,GRADE: EASY,https://cdn.trekthehimalayas.com/images/AdiKailashandOmParvat/AppCover/3122038d-3a78-4461-b8a9-9560fc5110b6_adi-kailash_11zon.webp
Chirbatiya Weekend Trek,https://trekthehimalayas.com/ChirbatiyaWeekendTrek,Uttarakhand,DURATION: 3 DAYS,GRADE: EASY,https://cdn.trekthehimalayas.com/images/ChirbatiyaWeekendTrek/AppCover/749d9c74-cbcd-4f05-b6df-1cdc7de7e611_chirbatiya_11zon.webp
Dodital Darwa Pass Trek,https://trekthehimalayas.com/dodital-darwa-pass-trek,Uttarakhand,DURATION: 7 DAYS,GRADE: MODERATE,https://cdn.trekthehimalayas.com/images/DoditalDarwaPassTrek/AppCover/ac3adbda-a8a9-451e-9185-0f21c7da242e_dodital.webp
Pangarchulla Peak Trek,https://trekthehimalayas.com/pangarchulla-peak-trek,Uttarakhand,DURATION: 7 DAYS,GRADE: MODERATE TO DIFFICULT,https://cdn.trekthehimalayas.com/images/PangarchullaPeakTrek/AppCover/9174922f-a510-4aee-94d1-293ae8de8b8f_pangarchulla_11zon.webp
Binsar Weekend Trek,https://trekthehimalayas.com/binsar-trek,Uttarakhand,DURATION: 2 DAYS,GRADE: EASY,https://cdn.trekthehimalayas.com/images/BinsarWeekendTrek/AppCover/0fd3e11a-25ab-4ff5-9b03-104294379d26_binsar_11zon.webp
Black Peak Expedition,https://trekthehimalayas.com/black-peak-expedition,Uttarakhand,DURATION: 15 DAYS,GRADE: CHALLENGING,https://cdn.trekthehimalayas.com/images/BlackPeakExpedition/AppCover/eb22556b-692d-4424-aa89-0d3948d5ca40_black-peak_11zon.webp
Bagini Glacier & Changbang Base Camp,https://trekthehimalayas.com/bagini-glacier-and-changbang-base-camp,Uttarakhand,DURATION: 9 DAYS,GRADE: MODERATE TO DIFFICULT,https://cdn.trekthehimalayas.com/images/BaginiGlacier&ChangbangBaseCamp/AppCover/d6a4bcab-dc40-4c9b-913f-c536287e7a31_bagini-glacier_11zon.webp
Bagji Bugyal Trek,https://trekthehimalayas.com/BagjiBugyalTrek,Uttarakhand,DURATION: 6 DAYS,GRADE: EASY,https://cdn.trekthehimalayas.com/images/BagjiBugyalTrek/AppCover/771b66c2-3bbb-465d-a9d0-b7edc32061e0_bagji-bugyal_11zon.webp
Other,https://trekthehimalayas.com/niceurl,Uttarakhand,DURATION: 1 DAYS,GRADE: EASY,https://cdn.trekthehimalayas.com/images/Other/AppCover/32411eba-8078-4ade-97d8-1d3a0ac31a22_soon.webp
Yoga & Meditation Retreat In The Himalayas,https://trekthehimalayas.com/yoga-and-meditation-retreat-in-the-himalayas,Uttarakhand,DURATION: 6 DAYS,GRADE: EASY,https://cdn.trekthehimalayas.com/images/Yoga&MeditationRetreatInTheHimalayas/AppCover/3d24a5a1-5c89-4e73-a066-b0c0e45d5001_yoga-treat_11zon.webp
Rudragaira Peak Expedition,https://trekthehimalayas.com/rudugaira-peak-expedition,Uttarakhand,DURATION: 13 DAYS,GRADE: CHALLENGING,https://cdn.trekthehimalayas.com/images/RudragairaPeakExpedition/AppCover/b5976a15-f1fb-4b13-b160-81453cd72ca2_Rudragaira-Peak-Expedition_11zon.webp
Roopkund Trek,https://trekthehimalayas.com/roopkund-trek,Uttarakhand,DURATION: 8 DAYS,GRADE: MODERATE TO DIFFICULT,https://cdn.trekthehimalayas.com/images/RoopkundTrek/AppCover/7b851ee2-12ef-4843-aab5-658cd5ceb1fc_roopkund_11zon.webp
Pindari Glacier Trek,https://trekthehimalayas.com/pindari-glacier-trek,Uttarakhand,DURATION: 6 DAYS,GRADE: MODERATE,https://cdn.trekthehimalayas.com/images/PindariGlacierTrek/AppCover/d625b370-6580-42bb-a95a-92f35e1a1ead_pindari-glacier_11zon.webp
